2018-06-12 16:50:47,534{GMT}	INFO	[jepsen test runner] jepsen.core: Running test:
 {:concurrency 12,
 :db
 #object[jepsen.db$reify__1266 0x1716e8c5 "jepsen.db$reify__1266@1716e8c5"],
 :name "memdb",
 :start-time
 #object[org.joda.time.DateTime 0x2f4c2cd4 "2018-06-12T16:50:47.000Z"],
 :net
 #object[jepsen.net$reify__378 0x50fb33a "jepsen.net$reify__378@50fb33a"],
 :client {},
 :barrier
 #object[java.util.concurrent.CyclicBarrier 0x60c8a093 "java.util.concurrent.CyclicBarrier@60c8a093"],
 :checker
 #object[jepsen.checker$compose$reify__3207 0x291373d3 "jepsen.checker$compose$reify__3207@291373d3"],
 :nemesis
 #object[mongo_http.isolate$nemesis$reify__2606 0x4dba773d "mongo_http.isolate$nemesis$reify__2606@4dba773d"],
 :active-histories #<Atom@5ea4300e: #{}>,
 :nodes ["node1" "node2" "node3"],
 :generator
 #object[jepsen.generator$time_limit$reify__1895 0x12eedfee "jepsen.generator$time_limit$reify__1895@12eedfee"],
 :os
 #object[jepsen.os$reify__1183 0xb887730 "jepsen.os$reify__1183@b887730"],
 :model {:value 0}}

2018-06-12 16:50:48,933{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:ok	:read	["node3" 1]
2018-06-12 16:50:48,945{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:ok	:read	["node3" 1]
2018-06-12 16:50:48,929{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:ok	:write	["node2" 2]
2018-06-12 16:50:48,964{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:invoke	:read	["node1" nil]
2018-06-12 16:50:48,920{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:ok	:read	["node3" 1]
2018-06-12 16:50:48,970{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:ok	:read	["node2" 2]
2018-06-12 16:50:48,970{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:invoke	:read	["node1" nil]
2018-06-12 16:50:48,978{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:invoke	:read	["node3" nil]
2018-06-12 16:50:48,979{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:ok	:read	["node1" 2]
2018-06-12 16:50:48,985{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:ok	:write	["node1" 2]
2018-06-12 16:50:48,995{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:ok	:read	["node2" 2]
2018-06-12 16:50:48,997{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:invoke	:read	["node3" nil]
2018-06-12 16:50:48,997{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:ok	:read	["node2" 2]
2018-06-12 16:50:49,009{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:invoke	:write	["node2" 3]
